Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity					
0	40								Retention times to analyze 2.3769-2.9865			
0.0245	60											
0.049	40											
0.0735	40											
0.098	50											
0.1225	40											
0.147	10											
0.1715	20											
0.196	20											
0.2205	50											
0.245	10											
0.2695	10											
0.2941	20											
0.3185	20											
0.3431	50											
0.3676	50											
0.4166	30											
0.4411	10											
0.4656	20								Average	Stdev	3*stdev	LOD
0.4901	50								#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
0.5146	80											
0.5391	20											
0.5636	30											
0.5881	40											
0.6126	20											
0.6371	10											
0.6616	20											
0.6861	70											
0.7106	40											
0.7351	10											
0.7596	30											
0.7841	40											
0.8086	40											
0.8331	40											
0.8576	50											
0.8821	10											
0.9067	50											
0.9312	40											
0.9556	30											
0.9801	10											
1.0047	50											
1.0292	50											
1.0537	60											
1.0782	10											
1.1027	30											
1.1272	30											
1.1762	30											
1.2007	10											
1.2252	20											
1.2497	20											
1.2987	10											
1.3232	10											
1.3477	10											
1.3722	30											
1.4212	10											
1.4702	30											
1.4947	20											
1.5193	50											
1.5438	10											
1.5927	30											
1.6173	20											
1.6418	40											
1.6908	20											
1.7153	10											
1.7398	10											
1.7888	10											
1.8133	20											
1.8378	10											
1.8868	10											
1.9358	20											
1.9848	20											
2.0338	30											
2.0583	30											
2.0828	30											
2.1073	10											
2.1319	10											
2.1809	30											
2.2053	20											
2.2789	10											
2.3034	30											
2.3279	10	2.3524	230	2.3524	230							
2.3524	20	2.3769	650	2.3769	950							
2.3769	30	2.4014	2740	2.4014	2960	2.3524	310					
2.4014	10	2.4259	4790	2.4259	6830	2.3769	1110					
2.4259	30	2.4504	10450	2.4504	12420	2.4014	1770					
2.4504	30	2.4749	22000	2.4749	22030	2.4259	4010					
2.4749	50	2.4994	32550	2.4994	31530	2.4504	11930					
2.4994	20	2.5239	60240	2.5239	62540	2.4749	17220					
2.5484	20	2.5484	63760	2.5484	89520	2.4994	34380					
2.5729	30	2.5729	138090	2.5729	137560	2.5239	56300					
2.5974	30	2.5974	131350	2.5974	146280	2.5484	65380					
2.6219	20	2.6219	145560	2.6219	133290	2.5729	110950					
2.6709	10	2.6464	90590	2.6464	129950	2.5974	121530					
2.6954	40	2.6709	69800	2.6709	83360	2.6219	165890					
2.7689	20	2.6954	68760	2.6954	88750	2.6464	130250					
2.7935	40	2.7199	42150	2.7199	58410	2.6709	96440					
2.818	20	2.7444	36920	2.7444	42740	2.6954	65810					
2.8424	20	2.7689	40280	2.7689	35840	2.7199	53550					
2.867	10	2.7935	34410	2.7935	45880	2.7444	38560					
2.8915	40	2.818	30820	2.818	29990	2.7689	36730					
2.9405	50	2.8424	24230	2.8424	31620	2.7935	30410					
2.965	10	2.867	11180	2.867	10030	2.818	34300					
2.9895	50	2.8915	3980	2.8915	5290	2.8424	23560					
3.0385	10			2.916	3480	2.867	11990					
3.063	20			2.9405	3810	2.8915	5560					
3.0875	10			2.965	3860	2.916	3730					
3.112	10											
3.1365	10											
3.1855	10											
3.2345	30											
3.2835	10											
3.308	10											
3.357	20											
3.3816	20											
3.4306	40											
3.455	10											
3.5041	20											
3.5776	40											
3.6021	10											
3.6266	10											
3.7001	30											
3.7736	10											
3.8226	60											
3.8471	40											
3.8716	20											
3.8961	60											
3.9206	10											
3.9451	30											
3.9696	10											
3.9941	10											
4.0187	20											
4.0431	10											
4.0676	40											
4.0922	20											
4.1167	30											
4.1412	20											
4.1902	10											
4.2147	20											
4.2637	30											
4.2882	20											
4.3127	40											
4.3617	10											
4.4107	60											
4.4352	10											
4.4842	40											
4.5087	10											
4.5332	20											
4.5577	50											
4.5822	40											
4.6067	20											
4.6312	10											
4.6557	30											
4.7048	30											
4.7293	30											
4.7783	50											
4.8028	30											
4.8273	20											
4.8518	30											
4.8763	40											
4.9008	20											
4.9253	30											
4.9498	30											
4.9743	30											
4.9988	20											
5.0233	60											
